catalog_id,tif,minxy,maxxy
105001000B95E100,2131111.tif,"(-95.712890625, 29.53125)","(-95.625, 29.619140625)"
105001000B95E100,3020230.tif,"(-95.44921875, 30.05859375)","(-95.361328125, 30.146484375)"
105001000B95E100,3002220.tif,"(-95.625, 29.35546875)","(-95.537109375, 29.443359375)"
105001000B95E100,3002221.tif,"(-95.537109375, 29.35546875)","(-95.44921875, 29.443359375)"
105001000B95E100,3020213.tif,"(-95.361328125, 29.970703125)","(-95.2734375, 30.05859375)"
105001000B95E100,3020223.tif,"(-95.537109375, 30.146484375)","(-95.44921875, 30.234375)"
105001000B95E100,2131133.tif,"(-95.712890625, 29.794921875)","(-95.625, 29.8828125)"
105001000B95E100,3020010.tif,"(-95.44921875, 29.53125)","(-95.361328125, 29.619140625)"
105001000B95E100,3020222.tif,"(-95.625, 30.146484375)","(-95.537109375, 30.234375)"
105001000B95E100,3002213.tif,"(-95.361328125, 29.267578125)","(-95.2734375, 29.35546875)"
105001000B95E100,3020023.tif,"(-95.537109375, 29.794921875)","(-95.44921875, 29.8828125)"
105001000B95E100,3002232.tif,"(-95.44921875, 29.443359375)","(-95.361328125, 29.53125)"
105001000B95E100,2131113.tif,"(-95.712890625, 29.619140625)","(-95.625, 29.70703125)"
105001000B95E100,3020030.tif,"(-95.44921875, 29.70703125)","(-95.361328125, 29.794921875)"
105001000B95E100,3020000.tif,"(-95.625, 29.53125)","(-95.537109375, 29.619140625)"
105001000B95E100,3020221.tif,"(-95.537109375, 30.05859375)","(-95.44921875, 30.146484375)"
105001000B95E100,3020012.tif,"(-95.44921875, 29.619140625)","(-95.361328125, 29.70703125)"
105001000B95E100,3020003.tif,"(-95.537109375, 29.619140625)","(-95.44921875, 29.70703125)"
105001000B95E100,3020031.tif,"(-95.361328125, 29.70703125)","(-95.2734375, 29.794921875)"
105001000B95E100,3020013.tif,"(-95.361328125, 29.619140625)","(-95.2734375, 29.70703125)"
105001000B95E100,3020203.tif,"(-95.537109375, 29.970703125)","(-95.44921875, 30.05859375)"
105001000B95E100,3020211.tif,"(-95.361328125, 29.8828125)","(-95.2734375, 29.970703125)"
105001000B95E100,3020200.tif,"(-95.625, 29.8828125)","(-95.537109375, 29.970703125)"
105001000B95E100,3020202.tif,"(-95.625, 29.970703125)","(-95.537109375, 30.05859375)"
105001000B95E100,3020032.tif,"(-95.44921875, 29.794921875)","(-95.361328125, 29.8828125)"
105001000B95E100,2131333.tif,"(-95.712890625, 30.146484375)","(-95.625, 30.234375)"
105001000B95E100,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)"
105001000B95E100,3002222.tif,"(-95.625, 29.443359375)","(-95.537109375, 29.53125)"
105001000B95E100,3002203.tif,"(-95.537109375, 29.267578125)","(-95.44921875, 29.35546875)"
105001000B95E100,3020231.tif,"(-95.361328125, 30.05859375)","(-95.2734375, 30.146484375)"
105001000B95E100,2131311.tif,"(-95.712890625, 29.8828125)","(-95.625, 29.970703125)"
105001000B95E100,3020210.tif,"(-95.44921875, 29.8828125)","(-95.361328125, 29.970703125)"
105001000B95E100,3002212.tif,"(-95.44921875, 29.267578125)","(-95.361328125, 29.35546875)"
105001000B95E100,3020011.tif,"(-95.361328125, 29.53125)","(-95.2734375, 29.619140625)"
105001000B95E100,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)"
105001000B95E100,3002223.tif,"(-95.537109375, 29.443359375)","(-95.44921875, 29.53125)"
105001000B95E100,2131131.tif,"(-95.712890625, 29.70703125)","(-95.625, 29.794921875)"
105001000B95E100,3002231.tif,"(-95.361328125, 29.35546875)","(-95.2734375, 29.443359375)"
105001000B95E100,3020232.tif,"(-95.44921875, 30.146484375)","(-95.361328125, 30.234375)"
105001000B95E100,2113313.tif,"(-95.712890625, 29.267578125)","(-95.625, 29.35546875)"
105001000B95E100,3002230.tif,"(-95.44921875, 29.35546875)","(-95.361328125, 29.443359375)"
105001000B95E100,3020033.tif,"(-95.361328125, 29.794921875)","(-95.2734375, 29.8828125)"
105001000B95E100,2131313.tif,"(-95.712890625, 29.970703125)","(-95.625, 30.05859375)"
105001000B95E100,3020002.tif,"(-95.625, 29.619140625)","(-95.537109375, 29.70703125)"
105001000B95E100,3020212.tif,"(-95.44921875, 29.970703125)","(-95.361328125, 30.05859375)"
105001000B95E100,3002202.tif,"(-95.625, 29.267578125)","(-95.537109375, 29.35546875)"
105001000B95E100,2113333.tif,"(-95.712890625, 29.443359375)","(-95.625, 29.53125)"
105001000B95E100,3020220.tif,"(-95.625, 30.05859375)","(-95.537109375, 30.146484375)"
105001000B95E100,3020201.tif,"(-95.537109375, 29.8828125)","(-95.44921875, 29.970703125)"
105001000B95E100,3020001.tif,"(-95.537109375, 29.53125)","(-95.44921875, 29.619140625)"
105001000B95E100,3020233.tif,"(-95.361328125, 30.146484375)","(-95.2734375, 30.234375)"
105001000B95E100,3002233.tif,"(-95.361328125, 29.443359375)","(-95.2734375, 29.53125)"
105001000B95E100,2131331.tif,"(-95.712890625, 30.05859375)","(-95.625, 30.146484375)"
105001000B95E100,2113331.tif,"(-95.712890625, 29.35546875)","(-95.625, 29.443359375)"
10300100681FAC00,0332230.tif,"(-96.85546875, 27.94921875)","(-96.767578125, 28.037109375)"
10300100681FAC00,2110230.tif,"(-96.85546875, 28.65234375)","(-96.767578125, 28.740234375)"
10300100681FAC00,2110023.tif,"(-96.943359375, 28.388671875)","(-96.85546875, 28.4765625)"
10300100681FAC00,0332221.tif,"(-96.943359375, 27.94921875)","(-96.85546875, 28.037109375)"
10300100681FAC00,2112000.tif,"(-97.03125, 28.828125)","(-96.943359375, 28.916015625)"
10300100681FAC00,2112001.tif,"(-96.943359375, 28.828125)","(-96.85546875, 28.916015625)"
10300100681FAC00,2110001.tif,"(-96.943359375, 28.125)","(-96.85546875, 28.212890625)"
10300100681FAC00,2110201.tif,"(-96.943359375, 28.4765625)","(-96.85546875, 28.564453125)"
10300100681FAC00,2110032.tif,"(-96.85546875, 28.388671875)","(-96.767578125, 28.4765625)"
10300100681FAC00,2110000.tif,"(-97.03125, 28.125)","(-96.943359375, 28.212890625)"
10300100681FAC00,0332202.tif,"(-97.03125, 27.861328125)","(-96.943359375, 27.94921875)"
10300100681FAC00,2110221.tif,"(-96.943359375, 28.65234375)","(-96.85546875, 28.740234375)"
10300100681FAC00,2112010.tif,"(-96.85546875, 28.828125)","(-96.767578125, 28.916015625)"
10300100681FAC00,2110203.tif,"(-96.943359375, 28.564453125)","(-96.85546875, 28.65234375)"
10300100681FAC00,0332212.tif,"(-96.85546875, 27.861328125)","(-96.767578125, 27.94921875)"
10300100681FAC00,2110021.tif,"(-96.943359375, 28.30078125)","(-96.85546875, 28.388671875)"
10300100681FAC00,2110222.tif,"(-97.03125, 28.740234375)","(-96.943359375, 28.828125)"
10300100681FAC00,0332220.tif,"(-97.03125, 27.94921875)","(-96.943359375, 28.037109375)"
10300100681FAC00,2112003.tif,"(-96.943359375, 28.916015625)","(-96.85546875, 29.00390625)"
10300100681FAC00,0332201.tif,"(-96.943359375, 27.7734375)","(-96.85546875, 27.861328125)"
10300100681FAC00,2110202.tif,"(-97.03125, 28.564453125)","(-96.943359375, 28.65234375)"
10300100681FAC00,2110212.tif,"(-96.85546875, 28.564453125)","(-96.767578125, 28.65234375)"
10300100681FAC00,2110012.tif,"(-96.85546875, 28.212890625)","(-96.767578125, 28.30078125)"
10300100681FAC00,2112012.tif,"(-96.85546875, 28.916015625)","(-96.767578125, 29.00390625)"
10300100681FAC00,2110030.tif,"(-96.85546875, 28.30078125)","(-96.767578125, 28.388671875)"
10300100681FAC00,0332222.tif,"(-97.03125, 28.037109375)","(-96.943359375, 28.125)"
10300100681FAC00,2110210.tif,"(-96.85546875, 28.4765625)","(-96.767578125, 28.564453125)"
10300100681FAC00,0332210.tif,"(-96.85546875, 27.7734375)","(-96.767578125, 27.861328125)"
10300100681FAC00,2112020.tif,"(-97.03125, 29.00390625)","(-96.943359375, 29.091796875)"
10300100681FAC00,2110022.tif,"(-97.03125, 28.388671875)","(-96.943359375, 28.4765625)"
10300100681FAC00,2110220.tif,"(-97.03125, 28.65234375)","(-96.943359375, 28.740234375)"
10300100681FAC00,0332223.tif,"(-96.943359375, 28.037109375)","(-96.85546875, 28.125)"
10300100681FAC00,2112030.tif,"(-96.85546875, 29.00390625)","(-96.767578125, 29.091796875)"
10300100681FAC00,0332200.tif,"(-97.03125, 27.7734375)","(-96.943359375, 27.861328125)"
10300100681FAC00,2110232.tif,"(-96.85546875, 28.740234375)","(-96.767578125, 28.828125)"
10300100681FAC00,2110200.tif,"(-97.03125, 28.4765625)","(-96.943359375, 28.564453125)"
10300100681FAC00,0332232.tif,"(-96.85546875, 28.037109375)","(-96.767578125, 28.125)"
10300100681FAC00,2112021.tif,"(-96.943359375, 29.00390625)","(-96.85546875, 29.091796875)"
10300100681FAC00,2110020.tif,"(-97.03125, 28.30078125)","(-96.943359375, 28.388671875)"
10300100681FAC00,2110010.tif,"(-96.85546875, 28.125)","(-96.767578125, 28.212890625)"
10300100681FAC00,2110223.tif,"(-96.943359375, 28.740234375)","(-96.85546875, 28.828125)"
10300100681FAC00,0332203.tif,"(-96.943359375, 27.861328125)","(-96.85546875, 27.94921875)"
10300100681FAC00,2112002.tif,"(-97.03125, 28.916015625)","(-96.943359375, 29.00390625)"
10300100681FAC00,2110003.tif,"(-96.943359375, 28.212890625)","(-96.85546875, 28.30078125)"
10300100681FAC00,2110002.tif,"(-97.03125, 28.212890625)","(-96.943359375, 28.30078125)"
1.04E+12,2110023.tif,"(-96.943359375, 28.388671875)","(-96.85546875, 28.4765625)"
1.04E+12,2112023.tif,"(-96.943359375, 29.091796875)","(-96.85546875, 29.1796875)"
1.04E+12,2112000.tif,"(-97.03125, 28.828125)","(-96.943359375, 28.916015625)"
1.04E+12,2112001.tif,"(-96.943359375, 28.828125)","(-96.85546875, 28.916015625)"
1.04E+12,2110201.tif,"(-96.943359375, 28.4765625)","(-96.85546875, 28.564453125)"
1.04E+12,2110221.tif,"(-96.943359375, 28.65234375)","(-96.85546875, 28.740234375)"
1.04E+12,2110203.tif,"(-96.943359375, 28.564453125)","(-96.85546875, 28.65234375)"
1.04E+12,2110021.tif,"(-96.943359375, 28.30078125)","(-96.85546875, 28.388671875)"
1.04E+12,2110222.tif,"(-97.03125, 28.740234375)","(-96.943359375, 28.828125)"
1.04E+12,2112003.tif,"(-96.943359375, 28.916015625)","(-96.85546875, 29.00390625)"
1.04E+12,2110202.tif,"(-97.03125, 28.564453125)","(-96.943359375, 28.65234375)"
1.04E+12,2112020.tif,"(-97.03125, 29.00390625)","(-96.943359375, 29.091796875)"
1.04E+12,2112022.tif,"(-97.03125, 29.091796875)","(-96.943359375, 29.1796875)"
1.04E+12,2110022.tif,"(-97.03125, 28.388671875)","(-96.943359375, 28.4765625)"
1.04E+12,2110220.tif,"(-97.03125, 28.65234375)","(-96.943359375, 28.740234375)"
1.04E+12,2110200.tif,"(-97.03125, 28.4765625)","(-96.943359375, 28.564453125)"
1.04E+12,2110020.tif,"(-97.03125, 28.30078125)","(-96.943359375, 28.388671875)"
1.04E+12,2110223.tif,"(-96.943359375, 28.740234375)","(-96.85546875, 28.828125)"
1.04E+12,2112002.tif,"(-97.03125, 28.916015625)","(-96.943359375, 29.00390625)"
1040010025AD7E00,3020230.tif,"(-95.44921875, 30.05859375)","(-95.361328125, 30.146484375)"
1040010025AD7E00,3002221.tif,"(-95.537109375, 29.35546875)","(-95.44921875, 29.443359375)"
1040010025AD7E00,3020223.tif,"(-95.537109375, 30.146484375)","(-95.44921875, 30.234375)"
1040010025AD7E00,3020010.tif,"(-95.44921875, 29.53125)","(-95.361328125, 29.619140625)"
1040010025AD7E00,3020023.tif,"(-95.537109375, 29.794921875)","(-95.44921875, 29.8828125)"
1040010025AD7E00,3002232.tif,"(-95.44921875, 29.443359375)","(-95.361328125, 29.53125)"
1040010025AD7E00,3022001.tif,"(-95.537109375, 30.234375)","(-95.44921875, 30.322265625)"
1040010025AD7E00,3020030.tif,"(-95.44921875, 29.70703125)","(-95.361328125, 29.794921875)"
1040010025AD7E00,3020221.tif,"(-95.537109375, 30.05859375)","(-95.44921875, 30.146484375)"
1040010025AD7E00,3020012.tif,"(-95.44921875, 29.619140625)","(-95.361328125, 29.70703125)"
1040010025AD7E00,3020003.tif,"(-95.537109375, 29.619140625)","(-95.44921875, 29.70703125)"
1040010025AD7E00,3020203.tif,"(-95.537109375, 29.970703125)","(-95.44921875, 30.05859375)"
1040010025AD7E00,3020032.tif,"(-95.44921875, 29.794921875)","(-95.361328125, 29.8828125)"
1040010025AD7E00,3020210.tif,"(-95.44921875, 29.8828125)","(-95.361328125, 29.970703125)"
1040010025AD7E00,3020021.tif,"(-95.537109375, 29.70703125)","(-95.44921875, 29.794921875)"
1040010025AD7E00,3002223.tif,"(-95.537109375, 29.443359375)","(-95.44921875, 29.53125)"
1040010025AD7E00,3020232.tif,"(-95.44921875, 30.146484375)","(-95.361328125, 30.234375)"
1040010025AD7E00,3002230.tif,"(-95.44921875, 29.35546875)","(-95.361328125, 29.443359375)"
1040010025AD7E00,3022010.tif,"(-95.44921875, 30.234375)","(-95.361328125, 30.322265625)"
1040010025AD7E00,3020212.tif,"(-95.44921875, 29.970703125)","(-95.361328125, 30.05859375)"
1040010025AD7E00,3020201.tif,"(-95.537109375, 29.8828125)","(-95.44921875, 29.970703125)"
1040010025AD7E00,3020001.tif,"(-95.537109375, 29.53125)","(-95.44921875, 29.619140625)"
10300100512FDE00,3020313.tif,"(-95.009765625, 29.970703125)","(-94.921875, 30.05859375)"
10300100512FDE00,3020112.tif,"(-95.09765625, 29.619140625)","(-95.009765625, 29.70703125)"
10300100512FDE00,3002313.tif,"(-95.009765625, 29.267578125)","(-94.921875, 29.35546875)"
10300100512FDE00,3020311.tif,"(-95.009765625, 29.8828125)","(-94.921875, 29.970703125)"
10300100512FDE00,3020101.tif,"(-95.185546875, 29.53125)","(-95.09765625, 29.619140625)"
10300100512FDE00,3002133.tif,"(-95.009765625, 29.091796875)","(-94.921875, 29.1796875)"
10300100512FDE00,3020303.tif,"(-95.185546875, 29.970703125)","(-95.09765625, 30.05859375)"
10300100512FDE00,3002323.tif,"(-95.185546875, 29.443359375)","(-95.09765625, 29.53125)"
10300100512FDE00,3020131.tif,"(-95.009765625, 29.70703125)","(-94.921875, 29.794921875)"
10300100512FDE00,3002301.tif,"(-95.185546875, 29.1796875)","(-95.09765625, 29.267578125)"
10300100512FDE00,3020110.tif,"(-95.09765625, 29.53125)","(-95.009765625, 29.619140625)"
10300100512FDE00,3002131.tif,"(-95.009765625, 29.00390625)","(-94.921875, 29.091796875)"
10300100512FDE00,3020331.tif,"(-95.009765625, 30.05859375)","(-94.921875, 30.146484375)"
10300100512FDE00,3002310.tif,"(-95.09765625, 29.1796875)","(-95.009765625, 29.267578125)"
10300100512FDE00,3002332.tif,"(-95.09765625, 29.443359375)","(-95.009765625, 29.53125)"
10300100512FDE00,3002333.tif,"(-95.009765625, 29.443359375)","(-94.921875, 29.53125)"
10300100512FDE00,3002331.tif,"(-95.009765625, 29.35546875)","(-94.921875, 29.443359375)"
10300100512FDE00,3020111.tif,"(-95.009765625, 29.53125)","(-94.921875, 29.619140625)"
10300100512FDE00,3020132.tif,"(-95.09765625, 29.794921875)","(-95.009765625, 29.8828125)"
10300100512FDE00,3020330.tif,"(-95.09765625, 30.05859375)","(-95.009765625, 30.146484375)"
10300100512FDE00,3002123.tif,"(-95.185546875, 29.091796875)","(-95.09765625, 29.1796875)"
10300100512FDE00,3020321.tif,"(-95.185546875, 30.05859375)","(-95.09765625, 30.146484375)"
10300100512FDE00,3002330.tif,"(-95.09765625, 29.35546875)","(-95.009765625, 29.443359375)"
10300100512FDE00,3002121.tif,"(-95.185546875, 29.00390625)","(-95.09765625, 29.091796875)"
10300100512FDE00,3020312.tif,"(-95.09765625, 29.970703125)","(-95.009765625, 30.05859375)"
10300100512FDE00,3002312.tif,"(-95.09765625, 29.267578125)","(-95.009765625, 29.35546875)"
10300100512FDE00,3002303.tif,"(-95.185546875, 29.267578125)","(-95.09765625, 29.35546875)"
10300100512FDE00,3020133.tif,"(-95.009765625, 29.794921875)","(-94.921875, 29.8828125)"
10300100512FDE00,3020113.tif,"(-95.009765625, 29.619140625)","(-94.921875, 29.70703125)"
10300100512FDE00,3002311.tif,"(-95.009765625, 29.1796875)","(-94.921875, 29.267578125)"
10300100512FDE00,3002130.tif,"(-95.09765625, 29.00390625)","(-95.009765625, 29.091796875)"
10300100512FDE00,3020121.tif,"(-95.185546875, 29.70703125)","(-95.09765625, 29.794921875)"
10300100512FDE00,3020310.tif,"(-95.09765625, 29.8828125)","(-95.009765625, 29.970703125)"
10300100512FDE00,3020130.tif,"(-95.09765625, 29.70703125)","(-95.009765625, 29.794921875)"
10300100512FDE00,3002321.tif,"(-95.185546875, 29.35546875)","(-95.09765625, 29.443359375)"
10300100512FDE00,3002132.tif,"(-95.09765625, 29.091796875)","(-95.009765625, 29.1796875)"
10300100512FDE00,3020103.tif,"(-95.185546875, 29.619140625)","(-95.09765625, 29.70703125)"
10300100512FDE00,3020301.tif,"(-95.185546875, 29.8828125)","(-95.09765625, 29.970703125)"
10300100512FDE00,3020123.tif,"(-95.185546875, 29.794921875)","(-95.09765625, 29.8828125)"
1030010066D17500,2131111.tif,"(-95.712890625, 29.53125)","(-95.625, 29.619140625)"
1030010066D17500,3002220.tif,"(-95.625, 29.35546875)","(-95.537109375, 29.443359375)"
1030010066D17500,3002221.tif,"(-95.537109375, 29.35546875)","(-95.44921875, 29.443359375)"
1030010066D17500,3020223.tif,"(-95.537109375, 30.146484375)","(-95.44921875, 30.234375)"
1030010066D17500,2131133.tif,"(-95.712890625, 29.794921875)","(-95.625, 29.8828125)"
1030010066D17500,3020222.tif,"(-95.625, 30.146484375)","(-95.537109375, 30.234375)"
1030010066D17500,3022000.tif,"(-95.625, 30.234375)","(-95.537109375, 30.322265625)"
1030010066D17500,3020023.tif,"(-95.537109375, 29.794921875)","(-95.44921875, 29.8828125)"
1030010066D17500,2131113.tif,"(-95.712890625, 29.619140625)","(-95.625, 29.70703125)"
1030010066D17500,3022001.tif,"(-95.537109375, 30.234375)","(-95.44921875, 30.322265625)"
1030010066D17500,3020000.tif,"(-95.625, 29.53125)","(-95.537109375, 29.619140625)"
1030010066D17500,3020221.tif,"(-95.537109375, 30.05859375)","(-95.44921875, 30.146484375)"
1030010066D17500,3020003.tif,"(-95.537109375, 29.619140625)","(-95.44921875, 29.70703125)"
1030010066D17500,3020203.tif,"(-95.537109375, 29.970703125)","(-95.44921875, 30.05859375)"
1030010066D17500,3020200.tif,"(-95.625, 29.8828125)","(-95.537109375, 29.970703125)"
1030010066D17500,3020022.tif,"(-95.625, 29.794921875)","(-95.537109375, 29.8828125)"
1030010066D17500,3020202.tif,"(-95.625, 29.970703125)","(-95.537109375, 30.05859375)"
1030010066D17500,2131333.tif,"(-95.712890625, 30.146484375)","(-95.625, 30.234375)"
1030010066D17500,3020020.tif,"(-95.625, 29.70703125)","(-95.537109375, 29.794921875)"
